Venture / VC Targets
Verified against the Aug 2026 NYC fund research  |  Databases: VC Fund Database (NYC detail) + VC Universe (global)  |  CVF opens ~Aug 28
Fill in the yellow columns (F to M).,,,,,,,Targets:,27,High priority:,0,In motion:,0

Fund,Type,Crypto / Deal Evidence,Hiring Model,Access Channel,Priority,Status,Contact(s),Contact Source,Last Contact,Next Step,Next Step Date,Notes
Galaxy Ventures,One-roof,"Fund I $175M+ (Jun 2025); stablecoins, payments, tokenization; leads Will Nuelle and Mike Giampapa",Small team; platform hires,Same relationship as Galaxy IB; CVF-compatible
Fintech Collective,Fintech VC,~$500M AUM; the single best stablecoins/payments thesis fit in NYC; capital markets DNA,Small team; seed/A checks $500K-4M,"Newsletter, Layer One podcast, Stablecon conference"
Archetype,Independent,"Fund III $100M+ (Sep 2025); stablecoins, payments infra, crypto x AI; Ash Egan, Katherine Wu",Concentrated team; occasional roles,"Archebyte podcast, NYC in-person events"
Variant,Independent,"Variant 4 $222M (Jun 2026); crypto x AI 'autonomy' thesis; Jesse Walden, Li Jin; Brooklyn",Small team,Thesis essays; writing-first outreach works here
CoinFund,Independent,$550M+ raised across recent vehicles; Brooklyn RIA; venture plus liquid; market-structure focus,Small team; has hired early-career,NYC events plus CVF; research and podcast engagement
Portal Ventures,Independent,Fund II $75M (late 2024); pre-seed lead checks; fundamentals-driven; Evan Fisher (ex-Insight),Small; hires early-career,Fisher's writing and podcasts; MBA-friendly framing
VanEck Ventures,Corporate fund,"$30M debut fund (Oct 2024); ex-Circle Ventures team (Lonergan, Lopez); stablecoin/tokenization thesis",Tiny team; accessible,Media-active partners; direct outreach viable
6th Man Ventures,Independent,"Fund II $145M; consumer and Solana-weighted; Mike Dudas (The Block co-founder), Serge Kassardjian",Small team,Dudas is highly public; NYC events
North Island Ventures,Independent,"~$300M AUM; Travis Scher (ex-DCG), Glenn Hutchins; stablecoin payments and interoperability thesis",Small; has advertised associate roles,Scher podcasts; watch for openings
Dragonfly (NYC),Bicoastal,Fund IV $650M (Feb 2026); RWA and stablecoin pivot; ~$4B AUM; note DOJ/Tornado Cash caveat on one GP,Small NYC bench; occasional roles,"Chopping Block podcast, research"
Union Square Ventures,Independent,Thesis-driven; early Coinbase backer; still leading crypto rounds in 2025,Small; has run analyst and fellow programs,CVF plus thoughtful written outreach; they reward writing
Castle Island Ventures,Independent,"Backed both Talos and Coin Metrics; Boston HQ (not NYC); founders Nic Carter, Matt Walsh",Small partnership; occasional fellows,Post-close Talos angle; engage On The Brink first
Coinbase Ventures,CVC,Most active CVC in crypto; sits inside the corp dev org; SF/remote,No standalone MBA hiring; enter via Coinbase,Through Coinbase MBA channels
Kraken Ventures,CVC,Standalone fund beside the most acquisitive corp dev team in crypto; SF/remote,Tiny team,Ecosystem network; double-counts with corp dev track
Pantera Capital,Independent,Oldest dedicated crypto fund; venture plus liquid; Menlo Park (not NYC),Small team,Network; CVF thesis material travels well here
ParaFi Capital,Independent,NYC market-structure/DeFi institutional fund (venture + liquid); Ben Forman (ex-KKR); ~$1B+ AUM reported,Small institutional team,NYC network; research engagement; verify current roster
Paradigm,Elite,The reference crypto fund; Fund III $850M (2024); research and policy powerhouse; Matt Huang,Rare MBA entry; fellowships/research exist,Research-first engagement; West Coast trips
Haun Ventures,Elite,"$1.5B raised (2022); Katie Haun (ex-a16z, ex-DOJ); policy-forward",Small team,Policy/regulatory events; research
Electric Capital,Elite,Developer-data-driven; annual Developer Report is an industry standard; ~$1B across funds,Small team,Developer Report as the conversation entry
Multicoin Capital,Thesis fund,Fund III $430M (2022); Solana/DePIN theses; the most prolific public thesis writers,Small team,Writing-first outreach; Breakpoint
Ribbit Capital,Fintech elite,"Coinbase, Robinhood, Nubank, Revolut backer; fintech-crypto crossover royalty; Micky Malka",Small partnership; MBA-plausible,Warm intros via the fintech web; Brazil/Nubank angle
Nyca Partners,Fintech VC,Hans Morris (ex-Visa president); payments and capital-markets fintech; selective crypto,MBA-friendly; NYC; hires MBAs,NYC fintech network; direct outreach viable
Illuminate Financial,Cap-markets VC,Capital markets infrastructure thesis with bank strategic LPs; digital-asset market infra bets; Mark Beeston (ex-ICAP),Small; MBA-legible,Market-structure content; NYC + London network
Liberty City Ventures,Independent,Quiet NYC crypto fund; early Paxos and Lukka backers; Emil Woods,Small partnership,NYC network play; verify current activity
Bain Capital Crypto,Institutional,$560M Fund I (2022); technical/cryptography depth on an institutional platform; Stefan Cohen,Institutional path; associate-plausible,BCC research engagement
a16z crypto,Mega-platform,"Crypto Fund 5 $2.2B (May 2026), $9.8B total; NYC office; Fund 5 thesis: stablecoins, tokenization, perps, prediction markets, AI agents; CSX accelerator",Competitive; active recruiting incl. non-investing platform roles,NYC office + CSX events; Chris Dixon (Columbia BA/MA) is the alumni hook
Index Ventures,Generalist w/ crypto,"NYC office; backed Bridge (sold to Stripe, $1.1B) - a live stablecoin credential; deep fintech bench",Structured associate hiring exists; competitive,NYC office network; fintech partners; verify current crypto appetite

"Keep this lane in quiet channels during the EB cycle: CVF, Galaxy and Broadhaven relationships, and CVC coffees. Never signal the venture endgame in Tier 1 IB conversations. Non-NYC entries (Castle Island, Pantera, Kraken/Coinbase Ventures) are kept for relationship reasons; the full NYC universe is on the VC Fund Database tab. Rows 21-30 added Aug 22, 2026 from general knowledge (Jan 2026 horizon), not the verified research - verify before citing. Global fund universe on the VC Universe tab. Rows 31-32 (a16z crypto, Index Ventures) added for NYC-office reachability."
